,jobs/job_title,skills,job_description
2,IT Manager,"Active Directory,Business Analysis,Change Management,Cloud Computing,Data Center,Disaster Recovery,Integration,IT Management,IT Operations,IT Service Management,IT Strategy,ITIL,Leadership",manager manager job involves vast array duties managing systems infrastructure knowledge mac ecosystem must 50 staff mac major manager job responsibilities ensure laptop desktop systems mac windows based maintained according corporate standards ensure excellent service support delivered staff including troubleshooting mac windows systems mobile devices applications ensure systems infrastructure including servers storage cloud based services lan wan equipment firewalls switches wi fi telephone systems v equipment printers desktop laptop computers mobile devices android secure properly managed functioning well ensure security governance policies procedures strictly adhered staff ensure security governance requirements organization clients 100 met communicate regularly regional global management implement projects completion communicate regularly cfo senior management keep informed status projects plans effectively communicate relevant related information staff ensure company data successfully backed locally offsite location online backup oversee related purchasing budget usage work closely finance director regional management develop annual plan capex budget offices revise needed throughout year ensure team local regional management well informed times changes news events within company build good relationships vendors negotiate contracts disputes
3,Active Directory Consultant,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",undertaking various active directory projects 2019 address variety issues needs ensure communicate project task progress updates report risk issues manager stakeholders sponsors timely manner meeting management appropriate staff understand requirements working close collaboration global team local team make sure stability platform hardware working remediation issues related platform provide technical support projects achieve delivery set within defined timeframe conduct situational data analysis identify understand problem issue arrange provide training people affected change per requirement ensure security risk management directives policies applied operational products services integrated planning development implementation new products services
4,Senior Consultant (SAP HCM),"Analysis,Business Analysis,Business Development,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,CRM,Integration,Leadership,Management,Management Consulting",provide l2 support sap hcm related issues troubleshooting investigating analyzing solving sap problems including sub systems map client business requirements processes objectives advising business implementation enhancements existing system incident management provide application support ensure sla met via investigation resolution change request handling requiring development new improved procedures using industry best may work cross functional linked teams address business systems issues conduct root cause analysis needed involved recommending resolution root causes able function independently within designated responsibility area resolve business issues working various groups within outside company ie system users company management consultants sap co ordination 3rd party vendor necessary day day support activity support initiatives increase user awareness use online training materials develop maintain documentation key technical processes project work appropriate deliver manage timely manner small enhancement projects meet business requirements
6,SAP IT CONSULTANT,"Analysis,Business Analysis,Business Development,Business Strategy,Change Management,Entrepreneurship,Integration,Leadership,Management,Management Consulting,Marketing,Marketing Strategy,Program Management",company overview intellect minds singapore based company since 2008 specializing talent acquisition application development training serve big mncs well known clients talent acquisition application development training needs singapore malaysia brunei vietnam thailand client establish company leader within industry looking sap consultant join organization
8,Micro Service Developer,".NET,Agile Methodologies,AJAX,ASP.NET,C#,C++,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",technologies looking dynamic individual keen join growing organization fast paced expanding supply chain software industry singapore goes digital individual play role developing upgrading saas tools valued added services clients responsibilities 1 work architect framework designer develop next generation cloud base micro services suite 2 design implement micro service modules primary supply chain systems design must flexible scalable future expansion upgrade 3 establish api services api gateway internal external communications integrations 4 document design works proper standard formats detail descriptions ensure design documentations include module data always follow standards date 5 conduct agile development methodology micro services development life cycle 6 carry unit integration testing regularly qc team
25,Project Manager,"Budgets,Business Analysis,Business Development,Business Strategy,Change Management,Construction,Contract Management,Integration,Leadership,Management,Microsoft Office,MS Project,Process Improvement",searching special join us someone sees things differently like 're looking someone provide game changing services customers interacting customers responding needs charge infrastructures planning proposing varying small medium companies often traveling offices customers singapore need someone cheerful pleasant disposition resourcefulness independent strong follow skill key quality position
31,Network Engineer,"Active Directory,CCNA,Cisco Technologies,Data Center,Disaster Recovery,Firewalls,Network Administration,Network Design,Network Engineering,Network Security,Networking,Routers,Routing",individual contributor role responsible successful migration clients asia pacific ap central europe middle east africa america existing connections us data centers singapore data center position operates intermediate professional level require strong execution analytical abilities candidate works independently receives minimal guidance position 1 year contract role responsibilities participate actively carrying network changes troubleshooting resolving complex 1st 2nd level network related issues coordinate resources necessary serve escalation point various operational teams respond resolve ip network issues within timeframe based severity level agreement sla deploy client solutions network design implementations take initiative proactively discover potential network impacts resolve issues shortest time frame participate actively problem resolution root cause analysis related data center project business usual activities deploy document changes accordance problem incident change management process communicate effectively efficiently relevant stakeholders including internal external customers resolution root cause outage service interruption carry effective prompt measures restore services resolve issues via appropriate configuration changes maintain service integrity ability write fluently communicate effectively senior management non technical language position may required work weekends based project clients requirement
35,Site Supervisor – Void Deck Columns,"Business Development,Business Strategy,CRM,Customer Service,Event Management,Leadership,Management,Marketing,Marketing Strategy,Microsoft Office,Negotiation,New Business Development,Program Management",site supervisors required take carry instructions including administrative tasks rep overall coordinator site site supervisor overall coordinator required take carry instructions rep relationship site supervisors shall capable maintaining relationship residents ground agencies staff site supervisory staff personally attend resident queries feedback complaints site supervisors always try look act part following points observed times proper ppe required occasional meals office hours join contractors staff entertainment working hours accept gifts offers contractors sub contractors suppliers punctual work work related appointments keep client officer charge site staff informed diligently assist timely site inspections requested times must avoid conflict personal interests project dealing contractors subcontractors suppliers mobile phone assist rep verifying keeping records variations carried site verify reports claims submitted contractors ensure works carried safe proper manner assist enforcing safety requirements ensure contractors maintain safety cleanliness tidiness site monitor report contractor progress planned schedule performance maintain site records works include circumstances events construction stage monitor ensure contractor follows strictly work program submitted ensure delay project check works within block carried according approved work schedule ensure materials require approval rep submitted time ensure delay progress works site check quality materials delivered site report rep materials conforming specifications identify verify client buildings decks previously improvement works conduct site surveys inspect assist handing taking completed works ensure proper updated records works including records variation works work progress etc kept check housekeeping works ensure estates remain hygienic times perform overtime work instructed client rep computer data entry taking progress photos
38,"Associate, Nice Recording SME, Technology Services,  Technology and Operations (WD04157)","Business Development,Business Strategy,Customer Service,Due Diligence,Financial Analysis,Financial Modeling,Leadership,Management,Marketing,Mergers & Acquisitions,Microsoft Excel,Microsoft Office,Private Equity",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels responsibilities support project activities dbs voice infrastructure lead manage nice recording projects dbs including following tasks monitor assess assign daily nice recording incident service request tickets assignment team review tickets determine recurring patterns initiate execute improvements provide guidance end users nice recording usage features configurations privileges perform troubleshooting analysis critical issues direct vendor l3 resolution propose lead operational enhancements processes tools nice recording documentation relevant operations processes future reference
39,System Analyst,"Agile Methodologies,Analysis,Business Analysis,Business Intelligence,Business Process,Databases,Integration,Java,Management,Microsoft SQL Server,Oracle,Process Improvement,Program Management",work closely senior application engineer design develop application solutions formulate program specifications basic prototypes transform software designs specifications high functioning code appropriate language develop test cases unit test load test integration test user acceptance test produce detailed specifications writing programme codes responsible coding testing debugging release preparation training manuals users work project manager deliver within timeline ensure work quality
45,Senior Technical quality manager,"Active Directory,Cloud Computing,Data Center,Integration,ITIL,Linux,Networking,Project Management,Security,Servers,SQL,System Administration,TCP/IP",technical quality manager client facing role delivering ongoing support guidance around business strategy transformation topics sales cycle completed role focuses relationship building proactive support activities turn promote overall customer satisfaction product adoption retention renewals role manages diverse high profile key accounts customers signed premium engagement contract sap sap active embedded accountable end end customer build customer sap hybrid premise landscape optimizing costs role focus cloud projects transition cloud projects system availability sla data integrity taking aspects effective application lifecycle management customer premise cloud solutions primarily delivery execution function managing end end customer sap hybrid landscape optimizing costs digital business services responsible drive adoption sap cloud guide customer journey across application lifecycle management accountable end end application product infrastructure customer sap landscape including service levels responsible services cloud contact compliance work customer renewal process responsible execute premium engagement services guide customer implementing recommendation changes using quality assurance value package services identifying improvement potential lower operational costs make sure sold gets delivered time quality pe cloud revenue gets consumed software utilized profitability managed leading customer facing cloud roles optimise enhance usage sap cloud solutions expected identify opportunities sap add value expand engagement along agreed roadmap develops service plan customer business continuity according sap best practices content premium engagement defined contract exact scope getting agreed regular alignment meetings customer service support manager lead engineering architect sap account team needs understand work several areas customer organization customer department usually department main driver inside customer organization premium engagement therefore closely work understand needs main stakeholders department department also typically project leads located main contact partners premium engagements supporting implementation maintenance projects customer business departments deliver value premium engagement understand underlying business requirements customer includes understanding real live business outcomes customers requirements coming customer customers competitive market situation partner eco system requirements end users shape existing premium engagement support offerings adapt new changing market demands memory computing mobile cloud customer purchasing department make sure customer sees value engagement continue engagement also needs understand customer signed premium engagement contract
48,Infrastructure Project Manager,"Budgets,Business Analysis,Business Development,Business Strategy,Change Management,Construction,Contract Management,Integration,Leadership,Management,Microsoft Office,MS Project,Process Improvement",role infrastructure project manager responsibilities responsible overall daily operational activities performed within fault reporting centre responsible management resources planning approving shift rosters requests changes guiding mentoring staff attending reported faults including enhancements work processes service levels develop operational reports dashboards processes monitor analyse availability sla performance metrics evaluate performance staff day day operations successful proactive maintenance downtime ability follow change management process proactively escalation point staff complex issue resolution including emergency escalation point major issues including hours weekend management relationships various internal departments external vendors ensure technicians technical specialist adhere company policies procedures performs related duties assigned
49,(Senior) Software Engineer (Platform),".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",expanding core platform team looking experienced java developers help build scale microservices working platform software architects build microservices apis background jobs related tools assisting client implementations building custom business logic web service access taking pride ownership work demonstrated careful implementation clean source code thoughtful documentation proper unit tests staying current modern development practices including continuously developing new skills needs arise
51,Business System Analyst- Analytics,"Agile Methodologies,Analysis,Business Analysis,Business Intelligence,Business Process,Business Process Improvement,ERP,Integration,Management,Process Improvement,Program Management,Project Management,Requirements Analysis",1 support business functions within organization analytics use cases 2 engage business understand business objectives use cases translate functional specifications development team 3 work business define success criteria business test plans analytical use cases 4 able provide recommendation business data visualization dashboards 5 techno functional position hands delivery role working business stakeholders working cross functional teams ensuring excellent business relationship 6 prepare maintain weekly status reports project delivery 7 perform data profiling come recommendations report data quality issues 8 must sql knowledge expected hands write complex data analysis good python shell scripting experience 9 expertise analytics tools like obiee tableau power bi able create logical data models analytics 10 coordinate data engineers architect leads successful delivery projects 11 functional knowledge business processes exposure erp crm software like siebel crm salesforce preferred
